Title,Year,Link,Poster
Rocketman,2019,https://www.imdb.com/title/tt2066051/,"https://m.media-amazon.com/images/M/MV5BYmIzNjUxZGQtYjg0OS00MmE0LTgwZDAtMzVmODQ2MGI5MTQ5XkEyXkFqcGdeQXVyMTA3MTA4Mzgw._V1_UX140_CR0,0,140,209_AL_.jpg"
Корак до славе,2000,https://www.imdb.com/title/tt0181875/,"https://m.media-amazon.com/images/M/MV5BMzY1ZjMwMGEtYTY1ZS00ZDllLTk0ZmUtYzA3ZTA4NmYwNGNkXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UY209_CR0,0,140,209_AL_.jpg"
Побуна на војној академији,1982,https://www.imdb.com/title/tt0083929/,"https://m.media-amazon.com/images/M/MV5BYzBlZjE1MDctYjZmZC00ZTJmLWFkOWEtYjdmZDZkODBkZmI2XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UX140_CR0,0,140,209_AL_.jpg"
Ово је Спајнал тап,1984,https://www.imdb.com/title/tt0088258/,"https://m.media-amazon.com/images/M/MV5BMTQ2MTIzMzg5Nl5BMl5BanBnXkFtZTgwOTc5NDI1MDE@._V1_UX140_CR0,0,140,209_AL_.jpg"
Уврнуто путовање Била и Теда,1991,https://www.imdb.com/title/tt0101452/,"https://m.media-amazon.com/images/M/MV5BMWMzMGY4MWMtZmY5MC00NzVjLWJlMzQtMTQ2ZTM4ZWNmYzFiXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_UX140_CR0,0,140,209_AL_.jpg"
9 pesama,2004,https://www.imdb.com/title/tt0411705/,"https://m.media-amazon.com/images/M/MV5BOGRiYjgwMmYtYWRjNi00MzkwLWJlOGUtYTg1ZThhODk3YWY0XkEyXkFqcGdeQXVyNTM0NTU5Mg@@._V1_UY209_CR0,0,140,209_AL_.jpg"
Samo ljubavnici opstaju,2013,https://www.imdb.com/title/tt1714915/,"https://m.media-amazon.com/images/M/MV5BMTY0NTQ1NjA0OV5BMl5BanBnXkFtZTgwMDg5NjkzMTE@._V1_UY209_CR0,0,140,209_AL_.jpg"
Hevi Metal,1981,https://www.imdb.com/title/tt0082509/,"https://m.media-amazon.com/images/M/MV5BOTc2NzM1ODgtM2RkYi00M2U4LWE4NzEtMDMzZGUzYmI1ZDUzL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY209_CR0,0,140,209_AL_.jpg"
Ranavejsi,2010,https://www.imdb.com/title/tt1017451/,"https://m.media-amazon.com/images/M/MV5BMTI3Nzc2ODI4NV5BMl5BanBnXkFtZTcwMzkxNDMyMw@@._V1_UY209_CR0,0,140,209_AL_.jpg"
Sid and Nancy,1986,https://www.imdb.com/title/tt0091954/,"https://m.media-amazon.com/images/M/MV5BYzRiODJiYjMtN2RiNy00NGVhLWJlN2MtODc4ZThiMGJmYzk0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY209_CR0,0,140,209_AL_.jpg"
The Boat That Rocked,2009,https://www.imdb.com/title/tt1131729/,"https://m.media-amazon.com/images/M/MV5BMTMzMjYzMTMyM15BMl5BanBnXkFtZTcwOTk5NDA5Mg@@._V1_UY209_CR0,0,140,209_AL_.jpg"
Kraljica ukletih,2002,https://www.imdb.com/title/tt0238546/,"https://m.media-amazon.com/images/M/MV5BMTYxNDEyMzEzMV5BMl5BanBnXkFtZTYwMDM1NjA3._V1_UY209_CR1,0,140,209_AL_.jpg"
Tenacious D: Trzalica sudbine,2006,https://www.imdb.com/title/tt0365830/,"https://m.media-amazon.com/images/M/MV5BMTUyMDA3OTc4MV5BMl5BanBnXkFtZTcwNzE5NjkzMQ@@._V1_UY209_CR0,0,140,209_AL_.jpg"
Elvis,1979,https://www.imdb.com/title/tt0079103/,"https://m.media-amazon.com/images/M/MV5BMTg4MDc1MzUyNl5BMl5BanBnXkFtZTcwNDk4NDcxMw@@._V1_UY209_CR3,0,140,209_AL_.jpg"
Самци,1992,https://www.imdb.com/title/tt0105415/,"https://m.media-amazon.com/images/M/MV5BMjMxMDBhYzktZWY4Ny00ZmUxLWJhZTctYjk2YTljYTM4MDE0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX140_CR0,0,140,209_AL_.jpg"
La Bamba,1987,https://www.imdb.com/title/tt0093378/,"https://m.media-amazon.com/images/M/MV5BOWI0YjE4M2ItNzY2NC00MzA1LWFhZTktY2YxZjE0ODU0ZTc5XkEyXkFqcGdeQXVyMzU4Nzk4MDI@._V1_UX140_CR0,0,140,209_AL_.jpg"
Quadrophenia,1979,https://www.imdb.com/title/tt0079766/,"https://m.media-amazon.com/images/M/MV5BN2NkYjllZGMtOGUxMy00N2VlLTg5NTUtNzY3N2QzNjVkNjhkXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_UY209_CR2,0,140,209_AL_.jpg"
Love & Mercy,2014,https://www.imdb.com/title/tt0903657/,"https://m.media-amazon.com/images/M/MV5BMTk1MTkwMzU4Nl5BMl5BanBnXkFtZTgwNjY0MDE1NTE@._V1_UY209_CR0,0,140,209_AL_.jpg"
Zabava bez kraja,2002,https://www.imdb.com/title/tt0274309/,"https://m.media-amazon.com/images/M/MV5BYTcyYzMyZGUtOGExYi00ZTljLWE3NDEtMGQyYTZiNmIzMzRiXkEyXkFqcGdeQXVyNzQ5MzY0NjM@._V1_UY209_CR2,0,140,209_AL_.jpg"
